aisle_group_id,aisle_name,head_term,products,chains,min_price_eur,top_form,base_share,sample_names
2,ZUIVEL & EIEREN,koffiemelk,90,6,0.37,houdbaar,0.93,Melkan Koffiemelkcups halfvol | Jumbo Volle Koffiemelk Cups 10 Stuks | Jumbo Halfvolle Koffiemelk Cups 10 Stuks
2,ZUIVEL & EIEREN,slagroom,72,6,0.98,vers,0.97,Melkan Houdbare slagroom 35% | Melkan Houdbare slagroom | Jumbo Houdbare Ongeklopte Slagroom 200 ML
2,ZUIVEL & EIEREN,magere kwark,60,6,0.99,vers,1.00,Öing Magere Kwark 500 g | Magere kwark | Hipp 4m Sap appel mild bio
2,ZUIVEL & EIEREN,haverdrink,59,6,0.99,houdbaar,0.73,Oatly Haverdrink barista edition | AH Terra Plantaardige barista haver | Melkan Haver drink original
2,ZUIVEL & EIEREN,karnemelk,55,6,0.85,vers,1.00,AH Karnemelk | PLUS Karnemelk | Jumbo Karnemelk 500ML
2,ZUIVEL & EIEREN,boter,50,6,0.99,vers,1.00,Jumbo Bakken & Braden 250 g | Zeezout- of knoflookboter | AH Zeezoutboter
2,ZUIVEL & EIEREN,mozzarella,48,6,0.88,vers,1.00,Fresca d'oro Mozzarella | Fresca d’Oro Mozzarella | Mozzarella
2,ZUIVEL & EIEREN,zuivelspread,41,6,1.37,bewerkt,0.20,Melkan Zuivelspread naturel | Zuivelspread | AH Zuivelspread naturel
2,ZUIVEL & EIEREN,roomyoghurt,37,6,0.48,vers,0.62,Bauer Roomyoghurt vruchten | Roomyoghurt met vruchten | Bauer Houdbare roomyoghurt
2,ZUIVEL & EIEREN,mousse,35,6,0.83,bewerkt,0.00,Gourmet Gold mousse kalkoen | Gourmet Gold mousse met tonijn | Sheba Finesse mousse-zachte pate zalm
2,ZUIVEL & EIEREN,feta,34,6,1.29,vers,1.00,Kolios Vintage feta mini | Melkan Feta | Feta
2,ZUIVEL & EIEREN,amandeldrink,34,6,0.99,houdbaar,0.82,Jumbo Amandeldrink Ongezoet 500ML | Alpro Amandeldrink zonder suiker | Biologische amandeldrink
2,ZUIVEL & EIEREN,kaas,32,6,1.69,vers,0.94,Eru Kids | De Zaanse Hoeve Mild 45+ geraspt | Babybel Mini netje 5 stuks
2,ZUIVEL & EIEREN,magere yoghurt,31,6,0.79,vers,1.00,AH Magere yoghurt | 1 de Beste Magere yoghurt | Magere yoghurt 1 L
2,ZUIVEL & EIEREN,magere melk,25,6,0.85,houdbaar,1.00,AH Houdbare magere melk | Jumbo Houdbare Magere Melk 1 L | Houdbare magere melk
2,ZUIVEL & EIEREN,crème fraîche,21,6,0.95,vers,1.00,Melkan Creme fraiche plantaardig | Melkan Demi creme fraiche | Öing Crème fraiche
2,ZUIVEL & EIEREN,kookroom,20,6,0.98,houdbaar,1.00,Melkan Kookroom 20% vet | Melkan Kookroom light 7% vet | Jumbo Kookroom 20% Vet 250 ml
