panel_slug,name_nl,department_slug,fixture_type,sort,aisle_group_ids,head_terms,products,chains,min_price_eur,top_form,sample_names,notes
kaassouffle,Kaassoufflé,diepvries,freezer,110,14,kaassoufflé,27,5,1.49,diepvries,PLUS Kaassoufflés | Jumbo Kaassoufflés 6 Stuks | g'woon kaassouflé 6 stuks,
lekkerbekjes,Lekkerbekjes,diepvries,freezer,120,14,lekkerbekjes,22,5,2.49,diepvries,AH Lekkerbekjes krokant korstje | Vis Marine Lekkerbekjes | AH Lekkerbekjes,
koffiebonen,Koffiebonen,koffie-thee,shelf,10,16,koffiebonen,313,6,4.79,houdbaar,L'or koffiecapsules lungo profondo | Spar koffiebonen dark roast | Starbucks Koffiebonen holiday blend,
thee,Thee,koffie-thee,shelf,20,16,thee,255,6,0.33,gedroogd,PLUS Thee Engelse melange 1-pot Fairtrade | PLUS Thee Engelse Melange 1-Kop 2 Fairtrade | g'woon thee melange zwarte thee,
koffiecapsules,Koffiecapsules,koffie-thee,shelf,30,16,koffiecapsules,248,6,1.79,houdbaar,Pickwick Super blends immunity kruidenthee | Pickwick Super blends shine kruidenthee | Aluminium koffiecapsules karamel,
koffiecups,Koffiecups,koffie-thee,shelf,40,16,koffiecups,200,6,0.45,houdbaar,Melkan Koffiecups vol | Kahrel Koffiecups ristretto sterkte 12 | Kahrel Koffiecups espresso sterkte 9,
oploskoffie,Oploskoffie,koffie-thee,shelf,50,16,oploskoffie,150,6,2.00,houdbaar,Nescafe Latte Macchiato Oploskoffie | Nescafe Gold oploskoffie double choc mocha | Nescafe Latte Hazelnut Oploskoffie,
groene-thee,Groene thee,koffie-thee,shelf,60,16,groene thee,147,6,0.42,houdbaar,1 de Beste Groene thee citroen kop 20 zk. | 1 de Beste Groene thee cranberry kop | 1 de Beste Groene thee puur kop 20 zakjes,
koffiepads,Koffiepads,koffie-thee,shelf,70,16,koffiepads,130,6,3.05,houdbaar,Caffè Gondoliere Dark roast coffee pads | 1 de Beste Koffiepads dark roast | Caffèretti Koffiepads extra dark,
filterkoffie,Filterkoffie,koffie-thee,shelf,80,16,filterkoffie,107,6,2.95,houdbaar,Paco Filterkoffie roodmerk | Filterkoffie intense | Paco Filterkoffie rood,
frisdrank,Frisdrank overig,frisdrank-water,shelf,10,15,frisdrank,963,6,0.45,houdbaar,Jumbo Zero Sugar - Lemon & Lime - Blik - 330ML | Caprisun sap multi vitamin | Sisi No bubbles orange 0%,
cola,Cola,frisdrank-water,shelf,20,15,cola;cola zero;cola light,391,6,0.35,houdbaar,First Choice Cola regular | PLUS Cola | AH Cola no sugar,
ice-tea,Ice tea,frisdrank-water,shelf,30,15,ice tea;iced tea;ijsthee,308,6,0.58,houdbaar,1 de Beste Ice tea perzik koolzuurvrij | 1 de Beste Ice tea green | AH Ice tea peach koolzuurvrij,
energy-drink,Energy drink,frisdrank-water,shelf,40,15,energy drink;energydrink;energiedrank,308,6,0.79,houdbaar,Shakura Energy drink special edition | Shakura Energy drink | Slammers Energy drink suikervrij,
mineraalwater,Mineraalwater,frisdrank-water,shelf,50,15,mineraalwater,226,6,0.29,houdbaar,Dalphin Mineraalwater zonder koolzuur | Dalphin Mineraalwater met koolzuur | PLUS Mineraalwater met koolzuur,
ijskoffie,IJskoffie,frisdrank-water,shelf,60,15,ijskoffie,114,6,0.69,houdbaar,Douwe Egberts IJskoffie mocha latte | Douwe Egberts Ijskoffie cappuccino | Melkan Ijskoffie macchiato,
limonadesiroop,Limonadesiroop,frisdrank-water,shelf,70,15,limonadesiroop,67,6,1.69,houdbaar,1 de Beste Limonadesiroop framboos | PLUS Limonadesiroop Sinaasappel | PLUS Limonadesiroop Framboos,
water,Water,frisdrank-water,shelf,80,15,water,59,6,0.26,houdbaar,Dalphin water koolzuurhoudend | AH Water koolzuurvrij | AH Water koolzuurvrij,
cassis,Cassis,frisdrank-water,shelf,90,15,cassis,54,6,0.42,houdbaar,PLUS Cassis | g'woon cassis blik 250 ml | Jumbo Blackcurrant Cassis - Blik - 250 ML,
tonic,Tonic,frisdrank-water,shelf,100,15,tonic,50,6,0.89,houdbaar,Royal Club Tonic 0% suiker | Royal Club Tonic 0% suiker | 1 de Beste Tonic,
kokoswater,Kokoswater,frisdrank-water,shelf,110,15,kokoswater,44,6,0.69,houdbaar,Maaza Kokoswater | Spa Touch pina colada kzh | Maaza Maaza Kokoswater 330 ml,
ginger-ale,Ginger ale,frisdrank-water,shelf,120,15,ginger ale,38,6,0.89,houdbaar,Royal Club Ginger ale | Royal Club Ginger ale 0% suiker | Ginger ale,
bier,Bier,bier-wijn,shelf,10,17,bier,1300,6,0.23,houdbaar,Holger Pils 4% | Schuttersbier pilsener | De Klok Bier krat fles,
